역명,주소,위도,경도
잠원역,서울특별시 서초구 잠원로4길 지하46(잠원동),37.5129294,127.0117464
고속터미널역,서울특별시 서초구 신반포로 지하188(반포동),37.5050827,127.0049777
교대역,서울특별시 서초구 서초대로 지하294(서초동),37.494178,127.015909
남부터미널역,서울특별시 서초구 서초중앙로 지하31(서초동),37.4848321,127.0165138
양재역,서울특별시 서초구 남부순환로 지하2585(서초동),37.4838155,127.0346881
매봉역,서울특별시 강남구 남부순환로 지하2744(도곡동),37.485919,127.0449776
도곡역,서울특별시 강남구 남부순환로 지하2814(도곡동),37.4909151,127.0548783
대치역,서울특별시 강남구 남부순환로 지하2952(대치동),37.4936835,127.0619102
학여울역,서울특별시 강남구 남부순환로 지하3104(대치동),37.4972478,127.0719615
대청역,서울특별시 강남구 일원로 지하2(일원동),37.4932186,127.0795608
일원역,서울특별시 강남구 일원로 지하121(일원동),37.4839651,127.0834928
수서역,서울특별시 강남구 광평로 지하270(수서동),37.4886789,127.0997013
가락시장역,서울특별시 송파구 송파대로 지하257(가락동),37.4925951,127.1188491
경찰병원역,서울특별시 송파구 중대로 지하149(가락동),37.4953749,127.1240817
오금역,서울특별시 송파구 오금로 지하321(오금동),37.501536,127.1280894
당고개역,서울특별시 노원구 상계로 305(상계동),37.670098,127.0789245
상계역,서울특별시 노원구 상계로 182(상계동),37.66163,127.0743
노원역,서울특별시 노원구 상계로 69-1(상계동),37.6563651,127.0634799
창동역,서울특별시 도봉구 마들로11길 77(창동),37.6531817,127.0476987
쌍문역,서울특별시 도봉구 도봉로 지하 486-1(창동),37.6483586,127.034565
수유역,서울특별시 강북구 도봉로 지하338(수유동),37.6363441,127.023791
미아역,서울특별시 강북구 도봉로 지하198(미아동),37.6262408,127.0261837
미아사거리 역,서울특별시 강북구 도봉로 지하50(미아동),0.0,0.0
길음역,서울특별시 성북구 동소문로 지하248(길음동),37.6042765,127.0251374
성신여대입구역,서울특별시 성북구 동소문로 지하102(동선동4가),37.5926517,127.0168732
한성대입구역,서울특별시 성북구 삼선교로 지하1(삼선동1가),37.5884599,127.0061144
혜화역,서울특별시 종로구 대학로 지하120(명륜4가),37.5813695,127.0018371
동대문역,서울특별시 종로구 율곡로 지하308(종로6가),37.5718616,127.0114887
동대문역사문화공원역,서울특별시 중구 장충단로 지하230(광희동2가),0.0,0.0
충무로역,서울특별시 중구 퇴계로 지하214(필동2가),37.5611019,126.9931884
명동역,서울특별시 중구 퇴계로 지하126(충무로2가),37.5612,126.98802
회현역,서울특별시 중구 퇴계로 지하54(남창동),37.55772,126.97671
서울역,서울특별시 용산구 한강대로 지하392(동자동),37.5534443,126.9697112
숙대입구역,서울특별시 용산구 한강대로 지하306(갈월동),37.543756,126.972232
삼각지역,서울특별시 용산구 한강대로 지하180(한강로1가),37.5355067,126.9741107
신용산역,서울특별시 용산구 한강대로 지하112(한강로2가),37.5300338,126.9676784
이촌역,서울특별시 용산구 서빙고로 지하83(용산동5가),37.5223012,126.9739562
동작역,서울특별시 동작구 현충로 257(동작동),37.5016283,126.980592
총신대입구역,서울특별시 동작구 동작대로 지하117(사당동),37.4882168,126.9822243
사당역,서울특별시 동작구  동작대로 지하3(사당동),37.478875,126.9820298
남태령역,서울특별시 서초구 과천대로 지하816(방배동),37.46557,126.987784
방화역,서울특별시 강서구 금낭화로 지하132(방화동),39.4375297,127.1830151
개화산역,서울특별시 강서구 양천로 22(방화동),37.572392,126.8061037
김포공항역,서울특별시 강서구 하늘길 지하77(방화동),37.5620299,126.8034895
송정역,서울특별시 강서구 공항대로 지하33(공항동),38.5480206,126.8278373
마곡역,서울특별시 강서구 공항대로 지하163(마곡동),37.5613032,126.827208
발산역,서울특별시 강서구 공항대로 지하267(마곡동),37.5592869,126.8386249
우장산역,서울특별시 강서구 강서로 지하262(화곡동),37.5489655,126.8365493
화곡역,서울특별시 강서구 화곡로 지하168(화곡동),37.5429057,126.8389995
까치산역,서울특별시 강서구 강서로 지하54(화곡동),37.5324893,126.8464416
신정역,서울특별시 양천구 오목로 지하179(신정동),37.5247399,126.8546609
목동역,서울특별시 양천구 오목로 지하245(목동),37.5253613,126.8643895
오목교역,서울특별시 양천구 오목로 지하342(목동),37.52407,126.87692
양평역,서울특별시 영등포구 양산로 지하21(양평동2가),37.4928474,127.4918972
